[LINE] Chat history in จำลอง-ร้านอาหารและเครื่องดื่ม
Saved on: 04/07/2564 BE 16:47

Sat, 22/05/2564 BE
14:55	⁨⁨N⁩⁩ joined the group.
14:55	⁨⁨แง้ว🙏⁩⁩ joined the group.
14:56	⁨⁨น้องแมววว⁩⁩ joined the group.
09:06	Mimi	สั่งอาหารหน่อยคะ 
09:07	Mimi	จองโต๊ะได้มั้ยครับ 
12:09	แง้ว🙏	ดีจ้า
12:11	Mimi	แนะนำอาหารหน่อย 
17:08	แง้ว🙏	แกงส้มเผ็ดจัง
17:16	แง้ว🙏	ทำไมแกงส้มได้เนื้อปลาน้อยจังคะ
17:25	Mimi	ครั้งที่แล้วแซ่บจืดมาก 
17:25	Mimi	ขอสั่งต้มแซ่บแบบเผ็ดๆที่นึงค่ะ 
17:29	Mimi	ทักค่ะ ตอนนี้จองโต๊ะได้มั้ย 
17:31	ipoo(นิวรรณ)	อาหารไม่อร่อยเลย รสชาติแย่มาก
17:33	Mimi	รออาหารนานมากเลย เร็วๆหน่อยได้ป่ะ 
17:35	Mimi	ใส่กับข้าวมาน้อยมาก 
17:35	Mimi	ไม่สมราคาเลย 
17:35	Mimi	มีอะไรอร่อยบ้างคะ
17:36	น้องแมววว	มีอะไรแนะนำบ้างคะ
17:36	น้องแมววว	มีอาหารแบบเซ็ตไหมคะ
17:38	แง้ว🙏	เป็นโรคเบาหวานแนะนำอาหารหน่อยค่ะ
17:39	น้องแมววว	มีเมนูเส้นบ้างไหมคะ
17:39	น้องแมววว	รออาหารนานมากค่ะ 
17:39	แง้ว🙏	ทำไมข้าวเเข็งจัง
17:40	Mimi	วันหลังใส่ผักน้อยๆได้มั้ยคะ 
17:41	แง้ว🙏	ข้าวผัดใส่ผักน้อยจัง
17:43	แง้ว🙏	คราวหน้าห่อใบตองแทนกล่องโฟมได้ไหมคะ
17:43	น้องแมววว	สั่งข้าวผัดกุ้ง ทำไมได้ข้าวผัดผักคะ?
17:45	แง้ว🙏	ที่จอดรถเต็มตลอดเลยขยายที่ได้ไหม แงงงงง
17:48	Mimi	ราดหน้าเค็มจนไปฟอกไตเลยค่ะ 
17:50	แง้ว🙏	ราดหน้าหวานเหมือนใส่น้ำตาลไปครึ่งโหลเลย
17:53	Mimi	อาหารอร่อยมากกก 
17:53	Mimi	จะมาสั่งอีกนะค้าบ 
17:53	แง้ว🙏	ต้มยำอร่อยเวอร์

Wed, 26/05/2564 BE
10:51	แง้ว🙏	สวัสดีค่ะ
13:59	แง้ว🙏	หิวจังงงง
14:27	ipoo(นิวรรณ)	มีไรให้ทานบ้าง
15:56	แง้ว🙏	มีชาบูขายไหมคะ

Thu, 27/05/2564 BE
11:37	Mimi	ทักค่า
11:37	Mimi	ตอนนี้ร้านเปิดป่าวคะ
11:40	แง้ว🙏	อยากจะจองโต๊ะวันพรุ่งนี้ึค่ะ
12:16	Mimi	กะเพราเลิศมากเลยค่ะ 
12:16	Mimi	ขอสั่งอีกจานค่ะ 
14:16	ipoo(นิวรรณ)	ไม่อร่อยเลย
17:59	Mimi	วันนี้มีอะไรอร่อยบ้างงง
17:59	Mimi	โต๊ะว่างมั้ย 
18:00	Mimi	ราคาแพงโคตรๆ 
18:01	Mimi	ส้มตำแซ่บมาก เยี่ยมมม
18:49	แง้ว🙏	ราดหน้าหมูนุ่มมาก
18:49	แง้ว🙏	กระเพรารสชาติดีค่ะ แต่ใส่ถั่วฝักยาวเยอะไปหน่อย

Fri, 28/05/2564 BE
02:29	แง้ว🙏	พรุ่งนี้ร้านเปิดไหมคะ
11:18	Mimi	ผัดผักรสชาติเลวร้ายมากค่ะ มีแต่ผัก 
11:20	Mimi	จะสั่งออนไลน์ต้องทำยังไงคะ 
11:20	Mimi	ตอนนี้ไปที่ร้านได้มั้ย 
11:20	Mimi	ร้านเปิดกี่
12:14	แง้ว🙏	อยากโดนช้อนแกงจังเลยค้าบบบ
12:31	แง้ว🙏	โหลๆจองโต๊ะหน่อยจ้า
18:37	Mimi	สั่งข้าวหน่อย 
18:38	Mimi	หิวมากกกๆๆ ข้าวจะมายัง 
18:38	Mimi	 มีเมนูแนะนำมั้ยคะ 
18:39	Mimi	ที่ร้านบริการแย่มาก 
18:39	Mimi	พนักงานเสียมารยาทมาก 
18:40	Mimi	ข้าวบูดรึป่าวเหม็นมาก
18:42	Mimi	แกงเลียงรสชาติกลมกล่อมสุดๆ 
18:45	Mimi	กินข้าวร้านนี้แล้วท้องเสีย แย่

Sat, 29/05/2564 BE
10:40	แง้ว🙏	สวัสดี
10:41	Mimi	ดีจ้าาา 
10:41	Mimi	มีอะไรกินบ้าง
13:29	แง้ว🙏	ขอสั่งก๋วยเตี๋ยวคั่วไก่ไม่ใส่ผักค่ะ
13:52	แง้ว🙏	ไม่ชอบที่ใส่ผักกาดมาในแกงจืด
13:54	ipoo(นิวรรณ)	สั่งอาหารหน่อยค่ะ
13:55	Mimi	สั่งอาหารมาน่าทานมาก  
13:56	Mimi	แต่รสชาติห่วยโคตร   
13:56	Mimi	ขอจองโต๊ะได้มั้ยคะ 
13:58	Mimi	มีบริการอะไรบ้าง 
14:03	Mimi	ทำอะไรได้บ้าง 
20:37	แง้ว🙏	ราคาโอเคแต่รสชาติควรปรับปรุง

Sun, 30/05/2564 BE
12:13	Mimi	หวัดดีจ้าา
12:13	Mimi	hi 
12:14	Mimi	ร้านอยู่ไหน 
12:15	Mimi	ข้าวต้มอร่อยมากค่ะ 
12:17	Mimi	แต่ชาเย็นหวานเกิน 
12:17	Mimi	ช่วยปรับปรุงหน่อยนะ
12:40	แง้ว🙏	ร้านนี้มีคนละครึ่งไหมคะ
12:40	แง้ว🙏	มีเราชนะเปล่า

Mon, 31/05/2564 BE
09:25	แง้ว🙏	ร้านเปิดตีเท่าไหร่
10:03	ipoo(นิวรรณ)	Hello
10:03	ipoo(นิวรรณ)	หิวจังเลย
14:34	แง้ว🙏	ร้านมีกี่สาขา
14:34	แง้ว🙏	ขอเบอร์โทรร้าน
14:35	แง้ว🙏	จองผ่านเฟสบุ๊คได้ไหมคะ
14:38	แง้ว🙏	อาหารอร่อยดี 
14:39	แง้ว🙏	ขนมดีงามมาก
14:39	Mimi	ฮัลโหลลล 
14:40	Mimi	ร้านเปิดตอนไหน 
14:40	แง้ว🙏	ขนมดีเทลประณีตมาก
14:40	Mimi	ร้านทำเครื่องดื่มห่วยมาก 
14:41	Mimi	ข้าวกินไม่ได้เลย 
14:41	Mimi	เจอข้าวบูดบ่อยมาก 
14:42	แง้ว🙏	ขนมอร่อยได้มาตรฐาน
14:43	แง้ว🙏	หม้อไฟทะเลคือดีที่สุด
14:43	แง้ว🙏	ขอดูเมนูหน่อย
19:24	แง้ว🙏	ไม่พอใจที่พนักงานทำหน้าไม่ดีใส่

Tue, 01/06/2564 BE
10:49	แง้ว🙏	ขอสั่งข้าวผัดกุ้ง1ที่จ้า
11:11	Mimi	ทักกก
11:12	Mimi	ต้มยำปลากลมกล่อมมาก 
11:12	Mimi	แต่อย่างอื่นคือเน่า แย่สุด 
11:13	Mimi	กินไม่ได้เลยนะ
11:13	Mimi	สุกี้ได้เยอะมากสุดยอดด
11:26	แง้ว🙏	สั่งวันนี้ได้กินวันไหน ช้ามาก
12:52	Mimi	ทำไมอาหารแพงจัง 
13:02	แง้ว🙏	อร่อยถูกปากมาก

Tue, 15/06/2564 BE
10:43	แง้ว🙏	ดี
10:43	แง้ว🙏	ของคาวดีมาก
10:44	Mimi	น้ำจิ้มแซ่บๆ อร่อยค่ะ 

Wed, 16/06/2564 BE
17:12	Mimi	ปลาส้มรสนัวมาก มันดียย
17:13	Mimi	ร้านนี้เยี่ยมยอด สุดยอด ตบมือให้เลยค่ะ 
18:58	แง้ว🙏	แกงไตปลารสชาติถูกปากมาก
19:01	Mimi	ถูกใจไก่กรอบมากก 

Thu, 17/06/2564 BE
09:31	แง้ว🙏	ร้านเปิดยัง
11:17	แง้ว🙏	ทำไมราคาแพง
11:18	แง้ว🙏	อาหารรสชาติงั้นๆ
12:26	แง้ว🙏	แม่ผมทำอร่อยกว่าร้านคุณอีก
12:28	แง้ว🙏	ขายข้าวกล่องไหมคะ
12:28	แง้ว🙏	รับทำข้าวกล่องไหม
12:28	แง้ว🙏	วันนี้เปิดร้านไหม
12:29	แง้ว🙏	ทำไมรสชาติแย่ขนาดนี้
12:32	แง้ว🙏	มี่กี่สาขา
12:33	แง้ว🙏	เจอขาแมลงสาปในต้มยำ   โคตรแย่

Sun, 27/06/2564 BE
18:18	Mimi	ร้านไปยังไง 
18:20	Mimi	กาแฟจืดไปหน่อยนะ ปรับปรุงด้วย
18:21	แง้ว🙏	ให้ห้าดาวเลยค่ะ
18:21	Mimi	หวัดดีค่า
18:21	แง้ว🙏	อาหารทุกอย่าง​ดีมาก
18:21	แง้ว🙏	บรรยากาศสบาย
18:21	Mimi	ทำไมเมนูมีน้อยจังเบื่อแล้วว
18:22	Mimi	ข้าวที่สั่งมาเหม็นๆนะ บูดรึป่าว 
18:22	Mimi	ส้มตำรสชาตินัวมากกก ดียย์
18:23	Mimi	หิวข้าวแล้ว!! เมื่อไหร่จะมา 
19:18	แง้ว🙏	ตำปูม้าไม่สด
19:18	แง้ว🙏	ไม่ชอบไม่โอเค​
19:21	แง้ว🙏	เลิกทำร้านอาหารเถอะ
19:21	แง้ว🙏	รสชาติแย่มาก
19:22	แง้ว🙏	ปลาทอดกรอบนอกนุ่มใน
19:23	แง้ว🙏	อาหารอร่อยไม่เหมือนใคร
19:33	Mimi	หมูแข็งเกิ้น เคี้ยวไม่ได้ 
19:34	Mimi	ว้าวว ไม่เคยกินอะไรอร่อยขนาดนี้มาก่อนเลย 
19:55	แง้ว🙏	ต้มส้มเค็มไปหน่อย
20:28	Mimi	ผัดผักอร่อยมากกก 
20:29	Mimi	ไม่อยากกินร้านนี้แล้ว 
20:30	แง้ว🙏	ไม่อยากใช้บริการแล้ว
20:31	แง้ว🙏	ไม่เคยกอนร้านไหนแย่เท่าร้านนี้
20:31	Mimi	เลิกๆ อย่าขายเลย 
20:31	แง้ว🙏	ไม่เคยกินร้านไหนแย่เท่าร้านนี้
20:31	Mimi	omg โคตรอร่อยย 
20:31	Mimi	กินแล้วเหมือนมีสายรุ้งออกมาจากปาก 
20:33	Mimi	อร่อยขนาดนี้ต้องไปตำ 
20:34	Mimi	สั่งอาหารหน่อยค่ะ 
20:35	Mimi	แกงปลาเหม็นคาวมาก
20:36	Mimi	อาหารแพงจัง 
20:36	Mimi	ราคาคุ้มมากกก สั่งซ้ำแน่นอน 
20:40	Mimi	ร้านบรรยากาศดีมากเลย
20:41	Mimi	อาหารรอนานมาก ไม่อยากรอแล้ว 
20:42	Mimi	รสชาติห่วยแตกมาก 
20:43	แง้ว🙏	ไม่อยากซื้อร้านนี้อีกแล้ว
20:43	Mimi	รสชาติไม่ได้เรื่องเลยค่ะ 

Thu, 01/07/2564 BE
10:46	Mimi	ข้าวนุ่มมาก อร่อยค่ะ 
10:47	Mimi	อยากกินหมูนุ่มม 
10:47	Mimi	หมูทอดกำลังดีเลยค่ะ 
10:48	Mimi	ทอดหมูไหม้เกินไปนะคะ แข็งมาก ฟันหัก
11:00	แง้ว🙏	ร้านเปิดไหม
11:01	แง้ว🙏	ร้านปิดยัง
11:08	Mimi	สั่งข้าวได้ไหมม
11:09	Mimi	ร้านเปิดกี่โมงง 
11:09	Mimi	ส่งอาหารเร็วมากก 
11:32	แง้ว🙏	ขอช่องทางการจ่่ายตังหน่อย
15:28	Mimi	ยังไม่หิวมากเท่าไหร่ 
15:28	Mimi	ไม่ค่อยอร่อยเลยทำใหม่ไป 
15:29	Mimi	กินแล้วอ้วน ไขมันเยอะ 
15:29	แง้ว🙏	หงุดหงิดอะทำไมส่งช้า
15:29	Mimi	อร่อยดีค่ะ 
15:29	แง้ว🙏	ตอบหน่อยจะโมโหแล้วนะ
15:33	Mimi	จะมาสั่งอีกรอบนะคะ อร่อยมากเลยค่ะ 
15:33	แง้ว🙏	ไม่สั่งอีกรอบหรอกค่ะ
15:33	แง้ว🙏	คิดว่าอร่อยมากมั้ง
15:35	Mimi	ไม่อร่อยเลยค่ะ 
15:36	แง้ว🙏	รสชาติไม่ค่อยเท่าไหร่แต่ราคาถูก
15:36	Mimi	แพงก็แพง จะขายใครคะไม่มีเงินซื้อ 
15:38	แง้ว🙏	ขอเลื่อนสั่งอาหารเป็นพรุ่งนี้ได้ไหมคะ
15:39	Mimi	มีคนแนะนำว่าอร่อยมากเลยมาลองดู 
15:39	Mimi	จองโต๊ะได้มั้ยคะ 
15:40	แง้ว🙏	ทำไมโต๊ะเต็มไวจัง
15:40	Mimi	พนักงานสุภาพน่ารักมากเลย 

Fri, 02/07/2564 BE
13:19	แง้ว🙏	กับข้าวดีบรรยากาศโอเครวมๆคือดีค่ะ
