Account name,แชทบอทสถาบันการศึกษา,,,
Account,Unknown,8/5/2021,16:34:20,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf หรือ https://edumanual.psu.ac.th/2020/hdy_sci_bsc63/
User,N,8/5/2021,16:34:35,เรียนยยากไหม
Account,Unknown,8/5/2021,16:34:37,ไม่ยากครับ ถ้าตั้งใจก็ทำได้
User,N,8/5/2021,16:34:44,ขอบคุณครับ
Account,Unknown,8/5/2021,16:34:46,ยินดีครับ
User,N,8/5/2021,17:16:28,สวัสดี
Account,Unknown,8/5/2021,17:16:30,สวัสดีครับบบ
User,N,8/5/2021,17:16:40,ขอดูข้อมูลหลักสูตรหน่อย
Account,Unknown,8/5/2021,17:16:41,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf หรือ https://edumanual.psu.ac.th/2020/hdy_sci_bsc63/
User,N,8/5/2021,17:16:50,เรียนยากไหม
Account,Unknown,8/5/2021,17:16:51,แค่ใจรัก ก็เรียนได้
User,N,8/5/2021,17:16:57,ขอบคุณครับ
Account,Unknown,8/5/2021,17:16:59,ยินดีครับ
User,N,8/5/2021,17:17:43,เปิดเทอมวันไหนครับ
Account,Unknown,8/5/2021,17:17:44,วันเปิดเทอมของปีการศึกษาที่ 1/2564 คือวันที่ 21 มิถุนายน 2564 ครับ สามารถดูวันอื่นๆ เพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar/PATITIN2564.pdf หรือ https://reg.psu.ac.th/reg/ ครับ
User,N,8/5/2021,17:18:06,มิดเทอมวันไหน
Account,Unknown,8/5/2021,17:18:07,วันเปิดเทอมของปีการศึกษาที่ 1/2564 คือวันที่ 21 มิถุนายน 2564 ครับ สามารถดูวันอื่นๆ เพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar/PATITIN2564.pdf หรือ https://reg.psu.ac.th/reg/ ครับ
User,N,8/5/2021,17:18:38,final วันไหน
Account,Unknown,8/5/2021,17:18:39,วันเปิดเทอมของปีการศึกษาที่ 1/2564 คือวันที่ 21 มิถุนายน 2564 ครับ สามารถดูวันอื่นๆ เพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar/PATITIN2564.pdf หรือ https://reg.psu.ac.th/reg/ ครับ
User,N,8/5/2021,17:19:49,ค่าเทอมเท่าไหร
Account,Unknown,8/5/2021,17:19:50,ค่าเทอมตกเทอมละ 18000 บาทครับ แต่ในช่วงโควิดค่าเทอมจะลดลง 20% สามารถดูเพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/bachelor_fee.aspx
User,N,8/5/2021,17:20:19,งานในอนาคต
Account,Unknown,8/5/2021,17:20:19,"สายงานของสาขานี้ค่อนข้างกว้างครับ ที่รู้จักกันทั่วไป เช่น Developer, Programmer, software testing เป็นต้นครับ หรือสามารถไปดูตัวอย่างอื่นๆ ได้ตามลิ้งค์นี้เพิ่มเติมเลยครับ https://www.rasmussen.edu/degrees/technology/blog/computer-careers-for-tech-geeks/"
User,N,8/6/2021,21:35:15,สวัสดี
Account,Unknown,8/6/2021,21:35:17,สวัสดีครับบบ
User,N,8/6/2021,21:35:24,ขอดูหลักสูตร
Account,Unknown,8/6/2021,21:35:26,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf หรือ https://edumanual.psu.ac.th/2020/hdy_sci_bsc63/
User,N,8/9/2021,11:57:00,วันเกิดวันไหน
Account,Unknown,8/9/2021,11:57:01,ขอโทษค่ะ พูดอีกครั้งได้ไหมคะ
User,N,8/12/2021,16:49:04,สบายดีไหมครับ
Account,Unknown,8/12/2021,16:49:06,ขอโทษค่ะ อะไรนะคะ
User,N,8/12/2021,16:49:17,ช่ายค้าบบบ
Account,Unknown,8/12/2021,16:49:19,ว่ายังไงนะคะ
User,N,8/12/2021,16:49:20,นั่นแหละ
Account,Unknown,8/12/2021,16:49:21,ขอโทษค่ะ พูดอีกครั้งได้ไหมคะ
User,N,8/12/2021,16:49:27,สบายดีไหม
Account,Unknown,8/12/2021,16:49:28,ขอโทษค่ะ อะไรนะคะ
User,N,8/12/2021,16:49:35,รู้เรื่องไหมเนี่ย
Account,Unknown,8/12/2021,16:49:36,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf หรือ https://edumanual.psu.ac.th/2020/hdy_sci_bsc63/
User,N,8/12/2021,16:49:41,เห้ย
Account,Unknown,8/12/2021,16:49:43,อีกทีได้ไหมคะ
User,N,8/12/2021,16:49:48,โมโหแล้วนะ
Account,Unknown,8/12/2021,16:49:49,ขอโทษค่ะ อะไรนะคะ
User,N,8/12/2021,16:49:58,มีแฟนรึยังคับ
Account,Unknown,8/12/2021,16:50:00,อะไรนะคะ พูดใหม่ได้ไหมคะ
User,N,8/12/2021,16:50:00,You sent a sticker.
